company,study_count,classification,top_chemicals,description,wiki_url
National Natural Science Foundation of China,11157,Government,SA (4931);e (4616);X (3505);HO (1689);PC (1227),The National Natural Science Foundation of China is a vice-ministerial institution under the Ministry of Science and Technology. It administers the National Natural Science Fund.,https://en.wikipedia.org/wiki/National_Natural_Science_Foundation_of_China
Ministry of Science and Technology of the People's Republic of China,1666,Government,e (1230);PC (316);di (306);SH (262);PCP (258),"The Ministry of Science and Technology is the executive department of the Central Science and Technology Commission, which coordinates science and technology activities in the country. The office is located in Xicheng District, Beijing.",https://en.wikipedia.org/wiki/Ministry_of_Science_and_Technology_(China)
National Institute of Environmental Health Sciences,805,Government,alkyl (78);polyfluoroalkyl (55);PCP (55);carbon (53);PCB (50),"The National Institute of Environmental Health Sciences (NIEHS) conducts research into the effects of the environment on human disease, as one of the 27 institutes and centers of the National Institutes of Health (NIH). It is located in the Research Triangle Park in North Carolina, and is the only primary division of the NIH located outside of the Washington metropolitan area.",https://en.wikipedia.org/wiki/National_Institute_of_Environmental_Health_Sciences
National Science Foundation,803,Government,carbon (105);acid (81);NH (67);DMS (55);O(2) (54),"The United States National Science Foundation (NSF) is an independent agency of the United States federal government that supports fundamental research and education in all the non-medical fields of science and engineering. Its medical counterpart is the National Institutes of Health. With an annual budget of about $8.75 billion, the NSF funds approximately 25% of all federally supported basic research conducted by the United States' colleges and universities. In some fields, such as mathematics, computer science, economics, and the social sciences, the NSF is the major source of federal backing.",https://en.wikipedia.org/wiki/National_Science_Foundation
Chinese Academy of Sciences,712,Government,PCP (103);carbon (101);oxygen (70);N (63);Mercury (44),"The Chinese Academy of Sciences is the national academy for natural sciences and the highest consultancy for science and technology of the People's Republic of China. It is the world's largest research organization, with 106 research institutes, 2 universities, 71,300 full-time employees, and 79,000 graduate students, and ranked first in the 2025 SCImago Institutions Rankings.",https://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences
Ministry of Education of the People's Republic of China,698,Government,SA (538);carbon (109);oxygen (105);CH (85);Fe (75),"The Ministry of Education of the People's Republic of China is a constituent department of the State Council, responsible for basic education, vocational education, higher education, and other educational affairs throughout the country. The Ministry of Education acts as the predominant funder of national universities and colleges in China. The ministry also accredits tertiary institutions, degree curriculum, and school teachers of the country.",https://en.wikipedia.org/wiki/Ministry_of_Education_(China)
Natural Sciences and Engineering Research Council of Canada,617,Government,PCP (97);carbon (96);oxygen (45);alkyl (44);Fe (43),The Natural Sciences and Engineering Research Council of Canada is a federal agency responsible for funding natural sciences and engineering research in Canada. NSERC directly funds university professors and students as well as Canadian companies to perform research and training.,https://en.wikipedia.org/wiki/Natural_Sciences_and_Engineering_Research_Council_of_Canada
China Postdoctoral Science Foundation,588,Government,carbon (104);O2 (94);NH (62);N2 (59);CH (54),,
U.S. Environmental Protection Agency,563,Government,carbon (86);CN (59);alkyl (48);fluoroalkyl (46);polyfluoroalkyl (35),"The Environmental Protection Agency (EPA) is an independent agency of the United States government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate.",https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency
China Scholarship Council,402,Government,e (346);carbon (96);CH (54);NH (49);oxygen (46),"The China Scholarship Council is China's Ministry of Education body that provides support for international academic exchanges with the country and is the primary vehicle through which the Chinese government awards scholarships. CSC provides both funding for Chinese citizens and residents to study abroad, and for foreign students and scholars to study in China. The agency predominantly provides scholarships to individuals, including in batches allocated to specific foreign universities.",https://en.wikipedia.org/wiki/China_Scholarship_Council
