company,study_count,classification,top_chemicals,description,wiki_url
National Natural Science Foundation of China,4564,Government,SA (3932);e (3668);X (2827);PC (936);di (893),The National Natural Science Foundation of China is a vice-ministerial institution under the Ministry of Science and Technology. It administers the National Natural Science Fund.,https://en.wikipedia.org/wiki/National_Natural_Science_Foundation_of_China
Ministry of Science and Technology of the People's Republic of China,1056,Government,e (915);di (227);PC (218);O (187);PCP (181),"The Ministry of Science and Technology is the executive department of the Central Science and Technology Commission, which coordinates science and technology activities in the country. The office is located in Xicheng District, Beijing.",https://en.wikipedia.org/wiki/Ministry_of_Science_and_Technology_(China)
National Institute of Environmental Health Sciences,521,Government,OH (76);alkyl (69);polyfluoroalkyl (49);PCP (49);carbon (47),"The National Institute of Environmental Health Sciences (NIEHS) conducts research into the effects of the environment on human disease, as one of the 27 institutes and centers of the National Institutes of Health (NIH). It is located in the Research Triangle Park in North Carolina, and is the only primary division of the NIH located outside of the Washington metropolitan area.",https://en.wikipedia.org/wiki/National_Institute_of_Environmental_Health_Sciences
China Postdoctoral Science Foundation,427,Government,carbon (85);oxygen (80);N2 (54);NH (53);CH (51),,
Ministry of Education of the People's Republic of China,401,Government,SA (359);oxygen (71);carbon (70);CH (50);nitrogen (46),"The Ministry of Education of the People's Republic of China is a constituent department of the State Council, responsible for basic education, vocational education, higher education, and other educational affairs throughout the country. The Ministry of Education acts as the predominant funder of national universities and colleges in China. The ministry also accredits tertiary institutions, degree curriculum, and school teachers of the country.",https://en.wikipedia.org/wiki/Ministry_of_Education_(China)
National Science Foundation,384,Government,N (327);carbon (58);acid (57);nitrogen (39);NH (37),"The United States National Science Foundation (NSF) is an independent agency of the United States federal government that supports fundamental research and education in all the non-medical fields of science and engineering. Its medical counterpart is the National Institutes of Health. With an annual budget of about $8.75 billion, the NSF funds approximately 25% of all federally supported basic research conducted by the United States' colleges and universities. In some fields, such as mathematics, computer science, economics, and the social sciences, the NSF is the major source of federal backing.",https://en.wikipedia.org/wiki/National_Science_Foundation
Natural Sciences and Engineering Research Council of Canada,333,Government,PCP (59);carbon (58);alkyl (30);oxygen (28);CH4 (23),The Natural Sciences and Engineering Research Council of Canada is a federal agency responsible for funding natural sciences and engineering research in Canada. NSERC directly funds university professors and students as well as Canadian companies to perform research and training.,https://en.wikipedia.org/wiki/Natural_Sciences_and_Engineering_Research_Council_of_Canada
U.S. Environmental Protection Agency,300,Government,PC (60);alkyl (43);fluoroalkyl (41);CN (40);carbon (39),"The Environmental Protection Agency (EPA) is an independent agency of the United States government tasked with environmental protection matters. President Richard Nixon proposed the establishment of EPA on July 9, 1970; it began operation on December 2, 1970, after Nixon signed an executive order. The order establishing the EPA was ratified by committee hearings in the House and Senate.",https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency
China Scholarship Council,286,Government,carbon (61);CH (38);iron (35);nitrogen (34);oxygen (33),"The China Scholarship Council is China's Ministry of Education body that provides support for international academic exchanges with the country and is the primary vehicle through which the Chinese government awards scholarships. CSC provides both funding for Chinese citizens and residents to study abroad, and for foreign students and scholars to study in China. The agency predominantly provides scholarships to individuals, including in batches allocated to specific foreign universities.",https://en.wikipedia.org/wiki/China_Scholarship_Council
"Research Grants Council, University Grants Committee",180,Government,carbon (23);oxygen (23);hydroxyl (20);nitrogen (20);ozone (18),,
Natural Science Foundation of Jiangsu Province,161,Government,oxygen (34);carbon (30);hydroxyl (19);chloro (19);Fe (16),,
Australian Research Council,151,Government,carbon (29);nitrogen (24);oxygen (22);iron (21);nitrite (20),"The Australian Research Council (ARC) is a Commonwealth entity established as an independent body under the Australian Research Council Act 2001, reporting to the Minister for Education.",https://en.wikipedia.org/wiki/Australian_Research_Council
U.S. Department of Energy,136,Government,carbon (33);CO2 (22);nitrate (12);nitrate (11);carbonate (9),"The  United States Department of Energy (DOE) is an executive department of the U.S. federal government that oversees national energy policy and energy production, the research and development of nuclear power, the military's nuclear weapons program, nuclear reactor production for the United States Navy, energy-related research, and energy conservation.",https://en.wikipedia.org/wiki/United_States_Department_of_Energy
Science and Technology Commission of Shanghai Municipality,136,Government,oxygen (35);carbon (29);SH (21);iron (17);NH3 (16),,
Natural Environment Research Council,128,Government,N (103);O2 (21);carbon (20);DMS (11);nitrogen (10),"The Natural Environment Research Council (NERC) is a council of UK Research and Innovation (UKRI), a non-departmental public body sponsored by the Department for Science, Innovation and Technology, responsible for supporting research, training and knowledge transfer activities in the environmental sciences.",https://en.wikipedia.org/wiki/Natural_Environment_Research_Council
